year,species_code,comp_type,base_iss_age,sub_iss_age,sub_samp,region
2016,10112,total,105.91296437947108,50.90394103285814,a25,ai
2016,21720,female,103.1353550362978,40.48467554757721,a25,ai
2016,21720,male,109.08985927722628,44.703796756924326,a25,ai
2016,21720,total,149.9972684109017,65.5622081423927,a25,ai
2016,21740,female,51.28109924113155,33.865247094475095,a25,ai
2016,21740,male,19.535779216851843,15.40889260401136,a25,ai
2016,21740,total,34.192145699759635,28.342434963739603,a25,ai
2016,21921,female,26.471817777426978,14.4646133185815,a25,ai
2016,21921,male,31.79567208234165,14.642517190510308,a25,ai
2016,21921,total,39.68701361534168,23.54846941174877,a25,ai
2016,30052,female,53.53421072286847,20.000917528132756,a25,ai
2016,30052,male,59.58612709795715,21.920093394707965,a25,ai
2016,30052,total,108.7387546483622,42.72914725325924,a25,ai
2016,30060,female,202.60877467224876,68.85525300669234,a25,ai
2016,30060,male,263.40248081294186,93.45174219331136,a25,ai
2016,30060,total,430.4765196924575,157.4460514453661,a25,ai
2016,30420,female,152.0784453050828,57.628958508603894,a25,ai
2016,30420,male,70.95179268467821,27.12463145837008,a25,ai
2016,30420,total,214.33315032622343,86.27665379168431,a25,ai
2018,10110,female,136.029006443943,48.0352138156514,a25,ai
2018,10110,male,96.59688289487464,31.801450523311733,a25,ai
2018,10110,total,199.0287501317544,71.01537505483597,a25,ai
2018,10112,female,89.47316427723125,40.267969367305014,a25,ai
2018,10112,male,77.80555275804932,39.73377926605248,a25,ai
2018,10112,total,122.87991003058085,66.51266788359213,a25,ai
2018,21720,female,140.12569192336102,39.11308012962492,a25,ai
2018,21720,male,122.21362191083662,36.27186700598043,a25,ai
2018,21720,total,198.39318425682592,56.78553027423508,a25,ai
2018,21740,female,110.75321630202023,60.546307335343414,a25,ai
2018,21740,male,60.111189030779386,30.05903250662195,a25,ai
2018,21740,total,102.71198958119,62.22345673770966,a25,ai
2018,21921,female,85.5135192968138,48.80500956344241,a25,ai
2018,21921,male,90.04134223763711,52.73016808253951,a25,ai
2018,21921,total,118.13189174076604,77.915581012478,a25,ai
2018,30051,female,3.2526604113509774,2.4431574137336622,a25,ai
2018,30051,male,4.85512435819568,2.2810775209334113,a25,ai
2018,30051,total,6.466314441754422,4.013888162434159,a25,ai
2018,30052,female,51.717551911301214,19.218363106220867,a25,ai
2018,30052,male,50.54880421609162,18.499399330230265,a25,ai
2018,30052,total,97.6518517064059,37.45511974358771,a25,ai
2018,30060,female,169.66781654361668,56.23915072803562,a25,ai
2018,30060,male,230.6921882648686,82.13752596870867,a25,ai
2018,30060,total,388.7085874420627,138.60133256952827,a25,ai
2018,30420,female,155.19692542256035,60.73573343254401,a25,ai
2018,30420,male,89.32027699459678,32.366637812116885,a25,ai
2018,30420,total,243.9828967584541,95.78586700474705,a25,ai
2014,10110,female,75.32847075012184,47.67246946343761,a50,ai
2014,10110,male,47.24874409043036,29.693401133364,a50,ai
2014,10110,total,116.77993027884678,73.28543160677238,a50,ai
2014,21720,female,94.82027762339688,61.10239926269451,a50,ai
2014,21720,male,106.24987630431828,70.30125510681223,a50,ai
2014,21720,total,151.24695626579992,105.41389336915351,a50,ai
2014,21740,female,7.070323717609275,6.646119025866313,a50,ai
2014,21740,male,7.538757050623131,6.831172736871924,a50,ai
2014,21740,total,7.517612094080384,7.093433793222402,a50,ai
2014,21921,female,60.633031828130186,42.08061997958306,a50,ai
2014,21921,male,49.35696099387906,36.38411308834455,a50,ai
2014,21921,total,79.48457202723371,61.82223170376364,a50,ai
2014,30051,female,3.595745143004892,3.0261201719186426,a50,ai
2014,30051,male,5.474590943267523,4.169417859239998,a50,ai
2014,30051,total,6.099009704728819,4.0850265346133545,a50,ai
